"Gene Name","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene_biotype"
"GPR87",91.2036472530664,6.20751497352494,0.534538418953969,11.6128509259865,3.54592262088395e-31,8.34676941931511e-29,"protein_coding"
"CNTN3",97.7212300168475,2.35143720006917,0.202643066870912,11.6038374091875,3.94005917114223e-31,9.13184483280887e-29,"protein_coding"
"CLCA2",178.335995529702,5.1546478389294,0.44435964783246,11.6001708617631,4.11256341732363e-31,9.38723755787584e-29,"protein_coding"
"COL10A1",144.647192947366,4.61760213809851,0.39851656296676,11.586976721175,4.79769454376926e-31,1.07876519853558e-28,"protein_coding"
"S100A12",395.833456572713,-4.1648994921529,0.359673443526627,-11.5796691891281,5.22472830853916e-31,1.15750782306092e-28,"protein_coding"
"TNS4",306.539880700448,5.24722176570834,0.455104773747854,11.5297005621293,9.34682389825374e-31,2.0407232177854e-28,"protein_coding"
"IRAG1",1581.90847338359,1.80935819653593,0.157135599863156,11.5146293908678,1.11337176652718e-30,2.396135094676e-28,"protein_coding"
"GNAO1",126.689299363887,1.9782568219749,0.17202021284886,11.5001416938893,1.31699050088098e-30,2.79443125292563e-28,"protein_coding"
"GRIN2A",66.7667895016625,3.59231455390124,0.31263907134365,11.4902930668976,1.47610309971617e-30,3.08854072183669e-28,"protein_coding"
"SMO",307.292057127501,1.58266894700102,0.137990120081685,11.4694366963674,1.87878274075867e-30,3.87724136842868e-28,"protein_coding"
"LILRA1",122.698953358093,-2.59669449501205,0.226538011646255,-11.4625111968708,2.03526663040497e-30,4.14341780906093e-28,"protein_coding"
"RTKN2",721.607459255399,-4.16233844552534,0.364040985775069,-11.433708313539,2.83727574755868e-30,5.69914121826286e-28,"protein_coding"
"GCA",732.583692417175,-1.40572968809319,0.123111254451998,-11.4183686483455,3.38528687205082e-30,6.71044035887443e-28,"protein_coding"
"TUB",398.480588255719,1.41101109608668,0.123976750579289,11.3812556749039,5.18477724589678e-30,1.01439830142123e-27,"protein_coding"
"HPCAL1",977.923121323318,-1.54669961246342,0.135945977871915,-11.37731058083,5.42468999390958e-30,1.04773018920831e-27,"protein_coding"
"CILP2",54.203054986425,3.48499737982366,0.306596279259627,11.3667308299999,6.12384624111154e-30,1.16779422306766e-27,"protein_coding"
"CRABP2",186.157212422089,3.01747357769315,0.266863349419734,11.3071861844435,1.20904888113388e-29,2.27679017428523e-27,"protein_coding"
"PLCH2",447.488913761439,3.55976375227809,0.315602221642357,11.2792734276505,1.6611223597297e-29,3.08948251226271e-27,"protein_coding"
"NET1",1249.32841600491,1.31497016594829,0.117023914479332,11.236764483558,2.69063847725055e-29,4.88367092286501e-27,"protein_coding"
"GNAL",239.065933733018,1.84185348696745,0.163899503824095,11.2377002003876,2.66227667695043e-29,4.88367092286501e-27,"protein_coding"
"CABYR",25.1706297801882,2.31946035574984,0.206484674128728,11.2330872280808,2.8050308132961e-29,5.03068919075069e-27,"protein_coding"
"PHACTR1",370.444001092845,-1.43235241649626,0.12777090372654,-11.2103176444758,3.62888727940231e-29,6.43166904284657e-27,"protein_coding"
"CDH2",118.508936785587,3.30045280852535,0.295284570784795,11.1771935789044,5.2731213165186e-29,9.23715960852938e-27,"protein_coding"
"ITLN2",84.4793706799218,-5.54003028474978,0.496259722980633,-11.1635702600954,6.14722602000722e-29,1.05236318172055e-26,"protein_coding"
